id,title,vote_average,vote_count,release_date,revenue,budget,popularity,genres,cast,director,profit,release_year,ROI,adjusted_revenue,adjusted_budget,release_month
38700,Bad Boys for Life,7.1,8354.0,2020-01-15,426505244.0,90000000.0,65.931,"Thriller, Action, Crime","Mario 'Vocol' Booker, Jeff J.J. Authors, Ellison Kendrick, Steve Heinz, Joe Crosson, Scott Rapp, Christina Christensen, Adrian De Armas, Derrick Gilbert, Norma Alvarez, Wil Gonzalez, Bilall Fallah, Kial Butler, Yessenia Hernandez, Keith Wheeler, Jay Amor, Rose Bianco, Elvia Hill, Michael Bay, Alexander Ludwig, Dennis Greene, Ivo Nandi, Adil El Arbi, Tony Kim, Massi Furlan, Darin Ferraro, Carlos Guerrero, Theresa Randle, Damien Butler, Sharon Pfeiffer, Sergio Briones, Felicia M. Reyes, Martin Lawrence, Kate del Castillo, Emily Towles, Jennifer Badger, Jenin Gonzalez, Shacai O'Neal, Bianca Bethune, Will Smith, Ruben E. A. Brown, Athena Akers, Paola Nuñez, Lauren Buglioli, Chick Bernhard, Robert Tinsley, Anthony Molinari, D.L. Lewis, Laura Ault, Nahima Bicelis, Ricardo Burgos, Gissette Valentin, Landon Brooks, Keiko Bell, Porshia C. Joseph, Fred Galle, José Alfredo Fernandez, Joseph Giambrone, Happy Anderson, Ryan L. Price, Brad Sanders, Nicky Jam, Edelia Merida, Ellen Marguerite Cullivan, Erroll Castrillo, Rory Markham, Troy Brenna, Joe Pantoliano, DJ Khaled, Thomas Brag, Hans Marrero, Jasmin Lawrence, Melissa Kennemore, Eduardo Rosario, Jamil C. Winston, Santos Caraballo, Pedro Tavarez Jr., David Shae, Austin Bollinger, Jacob Scipio, Charles Melton, Manuel Rivera, Brandi Cohen, Matthew Carter, Misty Autery, Vanessa Hudgens, James William Ballard, Cal Johnson, Julia Kay, Ashae Reagan, London Seabreeze","Adil El Arbi, Bilall Fallah",336505244.0,2020,373.895,527363516.5378671,111282843.89489952,1
76600,Avatar: The Way of Water,7.6,12329.0,2022-12-14,2320250281.0,460000000.0,5.781,"Science Fiction, Adventure, Action","Kevin Dorman, CCH Pounder, Jamie Flatters, Jake McLean, Trinity Bliss, Maria Walker, CJ Jones, Jack Champion, Joel Tobeck, Moana Ete, Scarlett Fernandez, Victor T. Lopez, Jennifer Stafford, Stephen Lang, Joel David Moore, Britain Dalton, Sam Worthington, Eric Farmer, Cruz Moir, Dileep Rao, Shane Rangi, Brendan Cowell, Anthony Ahern, Duane Evans Jr., Bailey Bass, Robert Okumu, Giovanni Ribisi, Edie Falco, Jemaine Clement, Jeremy Irwin, Phil Brown, Ava Diakhaby, Zoe Saldaña, Kim Do, Alicia Vela-Bailey, Phil Peleton, Jim Moore, Nikita Tu Bryant, Andrew Arrabito, Rick Lucas, Philip Mtambo, Jamie Landau, Filip Geljo, Daniel Lough, Sigourney Weaver, Johnny Alexander, Isaac Te Reina, Matt Gerald, Benjamin Hoetjes, Tanya Drewery, Kate Winslet, Jocelyn Christian, Keston John, Alex Lucas, Sean Anthony Moran, Chloe Coleman, Cliff Curtis",James Cameron,1860250281.0,2022,404.402,2536659002.11821,502903997.2668261,12
245842,The King's Daughter,7.1,680.0,2022-01-21,2200000.0,40500000.0,21.104,"Fantasy, Adventure, Family","Jessica Clarke, Fan Bingbing, Rachel Griffiths, Pablo Schreiber, Julie Andrews, William Hurt, Crystal Clarke, Virginia Bowers, Diane Duquesne, Ben Lloyd-Hughes, Jorja Lindsay, Benjamin Walker, Tiffany Hofstetter, Kasia Kaczmarek, Jean-Baptiste Sagory, Tom Morton, Paul Ireland, Marc de Panda, Crispin Freeman, Kaya Blocksage, Pierce Brosnan, Kaya Scodelario",Sean McNamara,-38300000.0,2022,-94.568,2405193.03040656,44277417.15066621,1
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8.2,825.0,2021-03-08,93882453.0,29700000.0,4.484,"Animation, Action, Science Fiction, Drama","Megumi Hayashibara, Miyuki Sawashiro, Yuko Miyamura, Fumihiko Tachiki, Akira Ishida, Sayaka Ohara, Maaya Sakamoto, Yuriko Yamaguchi, Hiro Yuuki, Tetsuya Iwanaga, Kotono Mitsuishi, Megumi Ogata, Koichi Yamadera, Koki Uchiyama, Motomu Kiyokawa, Miki Nagasawa, Junko Iwao, Mariya Ise, Tomokazu Seki, Takehito Koyasu, Anri Katsu, Ryunosuke Kamiki, Akio Otsuka","Mahiro Maeda, Hideaki Anno, Kazuya Tsurumaki, Katsuichi Nakayama",64182453.0,2021,216.103,110857509.07749078,35070110.70110701,3
315162,Puss in Boots: The Last Wish,8.2,8049.0,2022-12-07,484700000.0,90000000.0,4.65,"Animation, Adventure, Fantasy, Comedy, Family","Pilar Uribe, Ray Winstone, Heidi Gardner, Paul Fisher, John Mulaney, Conrad Vernon, Samson Kayo, Kailey Crawford, Bob Persichetti, James Ryan, Olivia Colman, Anthony Mendez, Florence Pugh, Da'Vine Joy Randolph, Miguel Matrai, Antonio Banderas, Harvey Guillén, Salma Hayek Pinault, Aydrea Walden, Al Rodrigo, Joel Crawford, Bernardo de Paula, Januel Mercado, Artemis Pebdani, Kevin McCann, Cody Cameron, Betsy Sodaro, Natalia Cronembold, Wagner Moura",Joel Crawford,394700000.0,2022,438.556,529907755.3809361,98394260.3348138,12
326316,Spinning Gold,5.4,35.0,2023-03-31,66284.0,27000000.0,1.279,"Music, Drama","Vincent Pastore, Sam Nelson Harris, Nick Sandow, Michelle Monaghan, Cait Alexander, Peyton List, Jason Derulo, Jason Isaacs, James Wolk, Wiz Khalifa, Dan Fogler, John Skelley, George Nickolas K., Dusan Dukic, David Reale, Seaton Smith, Pink Sweat$, Doron Bell, Caylee Cowan, Tayla Parx, Johnny Gill, Ellen David, Jeremy Jordan, Delia Lisette Chambers, Emily Rose David, Lyndsy Fonseca, Alex Gaskarth, Alex Gravenstein, Marcel Nahapetian, Obi Abili, Jay Pharoah, Ledisi, Casey Likes, Winslow Fegley, Christopher Hayes, Sebastian Maniscalco, Charlie Ebbs, Michael Ian Black, Chris Redd",Timothy Scott Bogart,-26933716.0,2023,-99.755,69612.34000656384,28355759.763702005,3
335787,Uncharted,6.916,6159.0,2022-02-10,407141258.0,120000000.0,4.243,"Action, Adventure","Tiernan Jones, Joseph Balderrama, Mark Wahlberg, Sophia Ali, Carlo Kitzlinger, Alana Boden, Tom Holland, Serena Posadino, Nolan North, Eskindir Tesfay, Georgia Goodman, Antonio Banderas, Jonathan Failla, Julia Schunevitsch, Manuel de Blas, Matt Barkley, Anthony Thomas, Carme Capdet, Jimmy Hart, Pilou Asbæk, Patricia Meeden, Rubén Doblas Gundersen, Brett Praed, Diarmaid Murtagh, Peter Seaton-Clark, Jesús Evita, Pingi Moli, Robert Maaser, Steven Waddington, Rudy Pankow, Tati Gabrielle, Alois Knapps",Ruben Fleischer,287141258.0,2022,239.284,445115143.69661766,131192347.11308506,2
337401,Mulan,6.868,6736.0,2020-09-04,69965374.0,200000000.0,3.914,"Adventure, Fantasy, Action, Family","Yoson An, Jimmy Wong, Wolf Chen, Zhaidarbek Kunguzhinov, R.J. O'Young, Young-H. Lee, Jen Sung, Ming-Na Wen, Jason Scott Lee, Arka Das, Crystal Rao, Owen Kwong, Nelson Lee, Jenson Cheng, Xana Tang, Ron Yuan, Elena Askin, Hoon Lee, Cheng Pei-Pei, King Lau, Doua Moua, Gong Li, Rosalind Chao, Vincent Feng, Chen Tang, Jet Li, Gary Young, Roger Yuan, Jun Yu, Donnie Yen, Tzi Ma, Liu Yifei",Niki Caro,-130034626.0,2020,-65.017,86510508.8098918,247295208.6553323,9
337404,Cruella,8.0,9482.0,2021-05-26,233503234.0,200000000.0,9.988,"Comedy, Crime, Adventure","Dylan Lowe, Jane How, Javone Prince, Ziggy Gardner, Steve Edge, Tom Turner, Geoffrey Burton, Sarah Crowden, Elizabeth Marcano-Mortlock, Joseph MacDonald, Kayvan Novak, Emily Beecham, Thomas Padden, Conor Moloney, Peter Singh, Andrew Leung, Camilla Roholm, Joey Akubeze, Joel Fry, Surinder Duhra, Linette Beaumont, Maeve Chadwick, Crystal Wingx, Ross Carter, Janet Henfrey, Emma Thompson, Michelle Greenidge, Mark Strong, Kirby Howell-Baptiste, John McCrea, Hermione Gulliford, Ed Birch, Asmara Gabrielle, Haruka Abe, Robert Cawsey, Robert Ryan, Paul Bazely, Waleed Akhtar, Jamie Demetriou, Florisa Kamara, Nathan Amzi, Geraldine Fitzgerald, Paul Chowdhry, Ninette Finch, Emma Stone, Trevor Laird, Nell Chadwick, Billie Gadsdon, Ed Kear, Niamh Lynch, Jacqueline Chan, Helena Dowling, John Wolfe, Paul Walter Hauser, Sid Sagar, Hannah Stokely, Abraham Popoola, John Mackay, Angela Sims, Carl Rice, Chris Ryman, Tim Steed, Richard David-Caine, Joshua Hill, Harrison Willmott, Leo Bill, Jack Barry, Tipper Seifert-Cleveland",Craig Gillespie,33503234.0,2021,16.752,275723375.9409594,236162361.62361625,5
338762,Bloodshot,6.708,5006.0,2020-03-05,39861118.0,42000000.0,3.557,"Action, Science Fiction, Adventure","Michael Kirch, Talulah Riley, Tsogt Baysgalan, Hilton Sun, Guy Pearce, Vin Diesel, Ryan Kruger, Jason Goliath, Shelani Van Niekerk, David Davadoss, Eiza González, Siddharth Dhananjay, Frans Steyn, Charlie Bouguenon, Clyde Berning, Gary Naidoo, Sam Heughan, Lamorne Morris, Patrick Kerton, Ryan Michael Sin, Emmanuel Manzanares, David Dukas, Toby Kebbell, Austin Rose, Keeno Lee Hector, Alex Hernandez, Tyrel Meyer, Nic Rasenti, Alex Anlos, Donovan Goliath, Jóhannes Haukur Jóhannesson, Jeremy Jess Boado, Tamer Burjaq, Maarten Römer, Freyja Stern",Dave Wilson,-2138882.0,2020,-5.093,49287317.46522411,51931993.817619786,3
